Product ID;Product Position;Promotion;Sales Volume;Product Position
119049;Aisle;No;770;Aisle
158781;End-cap;Yes;1216;End-cap
151438;Aisle;No;872;Aisle
152871;End-cap;Yes;1677;End-cap
126806;End-cap;Yes;1314;End-cap
134104;End-cap;Yes;1560;End-cap
120266;Front of Store;No;937;Front of Store
173550;End-cap;No;843;End-cap
175927;End-cap;No;738;End-cap
154278;End-cap;Yes;1404;End-cap
183537;Front of Store;No;942;Front of Store
150424;Front of Store;No;887;Front of Store
183825;Aisle;Yes;1501;Aisle
144012;Front of Store;No;798;Front of Store
147051;Front of Store;No;945;Front of Store
185800;End-cap;Yes;1323;End-cap
197524;Aisle;Yes;1300;Aisle
148823;Aisle;No;953;Aisle
114550;End-cap;Yes;1383;End-cap
125398;Aisle;No;766;Aisle
123985;End-cap;No;854;End-cap
186638;End-cap;No;828;End-cap
167281;End-cap;No;963;End-cap
118578;End-cap;Yes;1467;End-cap
174041;End-cap;Yes;1519;End-cap
127644;Front of Store;No;694;Front of Store
132007;Aisle;No;989;Aisle
147998;Aisle;Yes;1510;Aisle
176666;Aisle;Yes;1243;Aisle
193686;Aisle;Yes;1413;Aisle
163610;Front of Store;No;889;Front of Store
170364;Aisle;No;980;Aisle
167599;Aisle;Yes;1391;Aisle
166421;End-cap;Yes;1255;End-cap
129247;Front of Store;Yes;1491;Front of Store
127314;End-cap;Yes;1230;End-cap
111979;Front of Store;No;1063;Front of Store
120354;Aisle;Yes;1374;Aisle
144848;Front of Store;Yes;1585;Front of Store
111957;Aisle;Yes;1329;Aisle
160763;Front of Store;No;860;Front of Store
168270;End-cap;No;712;End-cap
195082;Front of Store;No;804;Front of Store
110329;Front of Store;Yes;1181;Front of Store
147449;End-cap;No;833;End-cap
193332;Aisle;No;931;Aisle
146804;Aisle;No;691;Aisle
188909;Aisle;Yes;1365;Aisle
165910;End-cap;Yes;1484;End-cap
136738;Front of Store;No;895;Front of Store
144497;End-cap;No;836;End-cap
135036;End-cap;No;954;End-cap
166331;Aisle;Yes;1532;Aisle
139789;Aisle;Yes;1738;Aisle
118569;Aisle;No;962;Aisle
155848;End-cap;Yes;1470;End-cap
152563;Front of Store;No;1129;Front of Store
115153;Aisle;Yes;1380;Aisle
125938;Aisle;Yes;1241;Aisle
122809;End-cap;Yes;1420;End-cap
181502;Front of Store;Yes;1663;Front of Store
182779;End-cap;Yes;1255;End-cap
155674;Front of Store;No;1125;Front of Store
182866;Aisle;Yes;1481;Aisle
148230;Front of Store;Yes;1119;Front of Store
126979;Front of Store;Yes;1515;Front of Store
135521;End-cap;No;838;End-cap
185809;End-cap;No;694;End-cap
171520;End-cap;Yes;1564;End-cap
122926;End-cap;No;934;End-cap
150953;Front of Store;Yes;1694;Front of Store
115873;End-cap;Yes;1381;End-cap
115581;Aisle;No;890;Aisle
183634;Front of Store;Yes;1502;Front of Store
122484;Aisle;No;843;Aisle
183574;Aisle;Yes;1724;Aisle
185307;Front of Store;No;795;Front of Store
118719;End-cap;Yes;1287;End-cap
134788;Front of Store;No;998;Front of Store
140142;Front of Store;No;813;Front of Store
153997;End-cap;Yes;1416;End-cap
123230;Aisle;No;982;Aisle
154676;Aisle;No;919;Aisle
152985;Aisle;Yes;1279;Aisle
175584;Front of Store;No;752;Front of Store
147491;End-cap;No;957;End-cap
198283;End-cap;No;853;End-cap
141547;End-cap;No;983;End-cap
156342;Front of Store;No;845;Front of Store
186083;End-cap;Yes;1325;End-cap
171776;Aisle;No;1026;Aisle
134429;Aisle;Yes;1420;Aisle
172816;Aisle;Yes;1528;Aisle
136272;End-cap;Yes;1252;End-cap
193227;End-cap;Yes;1225;End-cap
165786;End-cap;Yes;1581;End-cap
174708;Front of Store;No;981;Front of Store
142257;Aisle;Yes;1501;Aisle
126146;Aisle;No;867;Aisle
129134;Aisle;Yes;1489;Aisle
129898;End-cap;Yes;1511;End-cap
189692;End-cap;Yes;1356;End-cap
154846;End-cap;No;822;End-cap
122307;End-cap;No;811;End-cap
182099;Aisle;No;1013;Aisle
159816;Front of Store;Yes;1611;Front of Store
165326;Aisle;No;820;Aisle
185154;Aisle;No;895;Aisle
141330;Aisle;No;862;Aisle
158958;End-cap;No;692;End-cap
155010;Aisle;Yes;1351;Aisle
135857;Aisle;No;894;Aisle
147690;Aisle;No;762;Aisle
130321;End-cap;Yes;1833;End-cap
196752;End-cap;No;834;End-cap
181011;Aisle;No;794;Aisle
139967;End-cap;Yes;1544;End-cap
162699;End-cap;Yes;1097;End-cap
119044;Aisle;No;767;Aisle
121348;End-cap;No;900;End-cap
163982;Front of Store;No;709;Front of Store
185774;End-cap;No;815;End-cap
144651;Aisle;No;935;Aisle
195103;Aisle;Yes;1160;Aisle
123047;Aisle;Yes;1534;Aisle
123077;Front of Store;No;970;Front of Store
171860;Aisle;No;850;Aisle
149487;Aisle;Yes;1341;Aisle
168516;Front of Store;No;822;Front of Store
177771;End-cap;Yes;1722;End-cap
172015;End-cap;Yes;1436;End-cap
118985;Aisle;No;946;Aisle
112194;Aisle;Yes;1468;Aisle
113435;Aisle;No;710;Aisle
159182;Front of Store;No;773;Front of Store
199233;Aisle;No;778;Aisle
137044;Aisle;Yes;1241;Aisle
154736;Front of Store;No;970;Front of Store
141434;Front of Store;Yes;1484;Front of Store
199632;Aisle;No;790;Aisle
199633;End-cap;Yes;1446;End-cap
199634;Aisle;Yes;1620;Aisle
199635;Aisle;Yes;1223;Aisle
199636;Aisle;Yes;1238;Aisle
199637;Front of Store;Yes;1408;Front of Store
199638;Aisle;No;996;Aisle
199639;Aisle;No;638;Aisle
199640;Aisle;No;963;Aisle
199641;End-cap;No;882;End-cap
199642;End-cap;Yes;1442;End-cap
199643;Aisle;No;991;Aisle
199644;Front of Store;No;973;Front of Store
199645;Aisle;No;808;Aisle
199646;End-cap;No;739;End-cap
199647;Aisle;Yes;1484;Aisle
199648;Front of Store;Yes;1371;Front of Store
199649;Aisle;No;768;Aisle
199650;Aisle;No;971;Aisle
199651;Front of Store;No;948;Front of Store
199652;Front of Store;Yes;1304;Front of Store
199653;End-cap;Yes;1377;End-cap
199654;Aisle;Yes;1253;Aisle
199655;Aisle;Yes;1330;Aisle
199656;Front of Store;Yes;1258;Front of Store
199657;End-cap;No;800;End-cap
199658;Aisle;Yes;1191;Aisle
199659;Front of Store;No;947;Front of Store
199660;Aisle;Yes;1574;Aisle
199661;End-cap;No;899;End-cap
199662;Aisle;Yes;1451;Aisle
199663;Aisle;Yes;1370;Aisle
199664;End-cap;No;689;End-cap
199665;End-cap;No;871;End-cap
199666;Aisle;Yes;1510;Aisle
199667;End-cap;No;887;End-cap
199668;Front of Store;No;916;Front of Store
199669;Front of Store;No;926;Front of Store
199670;Front of Store;No;895;Front of Store
199671;Aisle;No;884;Aisle
199672;End-cap;No;986;End-cap
199673;Aisle;Yes;1440;Aisle
199674;Front of Store;No;797;Front of Store
199675;Aisle;No;822;Aisle
199676;End-cap;Yes;1444;End-cap
199677;End-cap;No;863;End-cap
199678;Aisle;No;886;Aisle
199679;Front of Store;Yes;1592;Front of Store
199680;Aisle;No;1068;Aisle
199681;Front of Store;Yes;1582;Front of Store
199682;End-cap;Yes;1255;End-cap
199683;Aisle;No;791;Aisle
199684;End-cap;No;820;End-cap
199685;Aisle;No;1201;Aisle
199686;Aisle;No;795;Aisle
199687;Front of Store;No;763;Front of Store
199688;Front of Store;Yes;1422;Front of Store
199689;Aisle;Yes;1458;Aisle
199690;End-cap;No;820;End-cap
199691;Aisle;Yes;1363;Aisle
199692;End-cap;Yes;1217;End-cap
199693;Aisle;Yes;1589;Aisle
199694;End-cap;No;826;End-cap
199695;Aisle;Yes;1713;Aisle
199696;End-cap;No;718;End-cap
199697;Aisle;No;833;Aisle
199698;Front of Store;No;813;Front of Store
199699;End-cap;No;774;End-cap
199700;Aisle;No;963;Aisle
199701;Aisle;No;894;Aisle
199702;Front of Store;No;930;Front of Store
199703;Front of Store;No;860;Front of Store
199704;Front of Store;Yes;1435;Front of Store
199705;End-cap;No;786;End-cap
199706;Front of Store;No;868;Front of Store
199707;End-cap;No;936;End-cap
199708;Aisle;Yes;1386;Aisle
199709;End-cap;Yes;1515;End-cap
199710;Front of Store;No;799;Front of Store
199711;Front of Store;No;965;Front of Store
199712;Aisle;Yes;1490;Aisle
199713;Front of Store;Yes;1657;Front of Store
199714;End-cap;Yes;1613;End-cap
199715;Aisle;Yes;1691;Aisle
199716;Aisle;Yes;1503;Aisle
199717;End-cap;No;830;End-cap
199718;Aisle;No;788;Aisle
199719;Aisle;Yes;1485;Aisle
199720;Front of Store;Yes;1625;Front of Store
199721;End-cap;No;829;End-cap
199722;Front of Store;Yes;1497;Front of Store
199723;Front of Store;No;1102;Front of Store
199724;Aisle;Yes;1359;Aisle
199725;End-cap;No;1072;End-cap
199726;Aisle;Yes;1377;Aisle
199727;End-cap;No;836;End-cap
199728;End-cap;No;642;End-cap
199729;Aisle;No;837;Aisle
199730;Aisle;No;825;Aisle
199731;Aisle;No;912;Aisle
199732;Front of Store;Yes;1605;Front of Store
199733;Front of Store;Yes;1417;Front of Store
199734;End-cap;No;939;End-cap
199735;Front of Store;Yes;1444;Front of Store
199736;Aisle;No;797;Aisle
199737;Front of Store;No;998;Front of Store
199738;Front of Store;Yes;1322;Front of Store
199739;End-cap;Yes;1286;End-cap
199740;Front of Store;Yes;1325;Front of Store
199741;End-cap;Yes;1299;End-cap
199742;End-cap;Yes;1312;End-cap
199743;End-cap;No;996;End-cap
199744;Aisle;Yes;1574;Aisle
199745;Aisle;Yes;1474;Aisle
199746;Aisle;No;921;Aisle
199747;Aisle;No;963;Aisle
199748;End-cap;No;778;End-cap
199749;Front of Store;Yes;1414;Front of Store
199750;Front of Store;No;1110;Front of Store
199751;End-cap;No;868;End-cap
199752;Front of Store;Yes;1415;Front of Store
199753;Aisle;No;873;Aisle
199754;Front of Store;No;790;Front of Store
199755;End-cap;No;792;End-cap
199756;Aisle;Yes;1367;Aisle
199757;End-cap;Yes;1651;End-cap
199758;Aisle;No;829;Aisle
199759;Aisle;Yes;1448;Aisle
199760;Aisle;Yes;1453;Aisle
199761;Aisle;No;953;Aisle
199762;Aisle;Yes;1218;Aisle
199763;End-cap;No;1028;End-cap
199764;End-cap;Yes;1332;End-cap
199765;End-cap;Yes;1317;End-cap
199766;Aisle;No;923;Aisle
199767;End-cap;No;969;End-cap
199768;Aisle;No;924;Aisle
199769;Aisle;Yes;1622;Aisle
199770;Front of Store;No;712;Front of Store
199771;End-cap;Yes;1344;End-cap
199772;Aisle;No;929;Aisle
199773;Aisle;No;895;Aisle
199774;Front of Store;No;936;Front of Store
199775;Front of Store;No;892;Front of Store
199776;End-cap;Yes;1525;End-cap
199777;Aisle;Yes;1280;Aisle
199778;End-cap;Yes;1632;End-cap
199779;End-cap;Yes;1459;End-cap
199780;Aisle;Yes;1774;Aisle
199781;End-cap;No;761;End-cap
199782;Front of Store;Yes;1593;Front of Store
199783;Aisle;No;844;Aisle
199784;End-cap;No;782;End-cap
199785;End-cap;Yes;1601;End-cap
199786;End-cap;Yes;1671;End-cap
199787;End-cap;No;755;End-cap
199788;Front of Store;Yes;1346;Front of Store
199789;Aisle;Yes;1167;Aisle
199790;Front of Store;No;860;Front of Store
199791;End-cap;No;877;End-cap
199792;End-cap;Yes;1362;End-cap
199793;End-cap;No;779;End-cap
199794;Front of Store;No;808;Front of Store
199795;Aisle;Yes;1127;Aisle
199796;Aisle;No;1008;Aisle
199797;Aisle;Yes;1335;Aisle
199798;Aisle;No;1037;Aisle
199799;Aisle;No;1089;Aisle
199800;Aisle;No;810;Aisle
199801;Front of Store;Yes;1666;Front of Store
199802;Front of Store;Yes;1780;Front of Store
199803;Front of Store;No;752;Front of Store
199804;Front of Store;Yes;1653;Front of Store
199805;End-cap;No;741;End-cap
199806;Aisle;No;782;Aisle
199807;Front of Store;No;956;Front of Store
199808;Front of Store;Yes;1282;Front of Store
199809;Aisle;No;1117;Aisle
199810;Front of Store;Yes;1204;Front of Store
199811;Aisle;No;874;Aisle
199812;Aisle;No;1010;Aisle
199813;End-cap;No;784;End-cap
199814;Front of Store;No;962;Front of Store
199815;Front of Store;No;850;Front of Store
199816;End-cap;No;650;End-cap
199817;Aisle;No;951;Aisle
199818;End-cap;Yes;1504;End-cap
199819;Front of Store;No;836;Front of Store
199820;Aisle;No;988;Aisle
199821;End-cap;No;874;End-cap
199822;Front of Store;No;862;Front of Store
199823;Front of Store;Yes;1240;Front of Store
199824;Aisle;No;837;Aisle
199825;Aisle;No;891;Aisle
199826;Aisle;No;706;Aisle
199827;Front of Store;No;766;Front of Store
199828;End-cap;No;1034;End-cap
199829;End-cap;No;914;End-cap
199830;Aisle;Yes;1182;Aisle
199831;End-cap;Yes;1113;End-cap
199832;Aisle;No;855;Aisle
199833;Aisle;No;780;Aisle
199834;Aisle;No;778;Aisle
199835;Front of Store;No;970;Front of Store
199836;Aisle;No;862;Aisle
199837;Aisle;No;913;Aisle
199838;End-cap;Yes;1736;End-cap
199839;Aisle;Yes;1431;Aisle
199840;End-cap;No;916;End-cap
199841;Front of Store;No;855;Front of Store
199842;Front of Store;No;940;Front of Store
199843;Aisle;Yes;1373;Aisle
199844;Aisle;No;935;Aisle
199845;Front of Store;Yes;1489;Front of Store
199846;Front of Store;No;745;Front of Store
199847;Aisle;No;1055;Aisle
199848;Front of Store;No;688;Front of Store
199849;Aisle;Yes;1197;Aisle
199850;Aisle;No;816;Aisle
199851;Front of Store;No;800;Front of Store
199852;End-cap;Yes;1530;End-cap
199853;End-cap;No;882;End-cap
199854;End-cap;No;877;End-cap
199855;End-cap;No;1026;End-cap
199856;Aisle;Yes;1353;Aisle
199857;Aisle;No;877;Aisle
199858;End-cap;Yes;1165;End-cap
199859;End-cap;Yes;1427;End-cap
199860;Aisle;No;728;Aisle
199861;End-cap;No;867;End-cap
199862;Aisle;Yes;1220;Aisle
199863;Aisle;No;1121;Aisle
199864;Aisle;Yes;1703;Aisle
199865;Aisle;No;832;Aisle
199866;End-cap;Yes;1449;End-cap
199867;End-cap;No;791;End-cap
199868;Aisle;Yes;1550;Aisle
199869;Front of Store;Yes;1342;Front of Store
199870;Front of Store;Yes;1322;Front of Store
199871;Front of Store;No;1034;Front of Store
199872;End-cap;No;631;End-cap
199873;End-cap;Yes;1417;End-cap
199874;Front of Store;No;712;Front of Store
199875;Aisle;Yes;1291;Aisle
199876;End-cap;No;903;End-cap
199877;Aisle;No;831;Aisle
199878;Front of Store;No;895;Front of Store
199879;End-cap;No;929;End-cap
199880;End-cap;No;964;End-cap
199881;Aisle;No;864;Aisle
199882;Front of Store;Yes;1471;Front of Store
199883;Aisle;No;718;Aisle
199884;End-cap;Yes;1266;End-cap
199885;End-cap;No;1056;End-cap
199886;End-cap;Yes;1641;End-cap
199887;End-cap;No;767;End-cap
199888;End-cap;Yes;1562;End-cap
199889;Aisle;No;731;Aisle
199890;End-cap;No;957;End-cap
199891;Front of Store;Yes;1429;Front of Store
199892;Front of Store;No;916;Front of Store
199893;Front of Store;No;669;Front of Store
199894;Front of Store;Yes;1401;Front of Store
199895;Aisle;No;1047;Aisle
199896;Front of Store;No;896;Front of Store
199897;Front of Store;Yes;1528;Front of Store
199898;Aisle;No;876;Aisle
199899;Front of Store;No;893;Front of Store
199900;Front of Store;No;744;Front of Store
199901;Aisle;Yes;1494;Aisle
199902;End-cap;No;925;End-cap
199903;Front of Store;No;860;Front of Store
199904;Front of Store;Yes;1413;Front of Store
199905;End-cap;No;1017;End-cap
199906;End-cap;Yes;1370;End-cap
199907;End-cap;No;884;End-cap
199908;End-cap;Yes;1417;End-cap
199909;End-cap;Yes;1410;End-cap
199910;Aisle;No;871;Aisle
199911;Front of Store;Yes;1449;Front of Store
199912;End-cap;Yes;1345;End-cap
199913;Aisle;No;835;Aisle
199914;End-cap;Yes;1209;End-cap
199915;Front of Store;No;1014;Front of Store
199916;Front of Store;Yes;1579;Front of Store
199917;Aisle;No;831;Aisle
199918;Front of Store;No;802;Front of Store
199919;Aisle;No;877;Aisle
199920;Aisle;No;943;Aisle
199921;Aisle;Yes;1466;Aisle
199922;Aisle;Yes;1147;Aisle
199923;Front of Store;Yes;1258;Front of Store
199924;End-cap;No;908;End-cap
199925;Aisle;No;787;Aisle
199926;Aisle;Yes;1631;Aisle
199927;Aisle;No;891;Aisle
199928;End-cap;Yes;1217;End-cap
199929;Front of Store;Yes;1612;Front of Store
199930;Aisle;No;982;Aisle
199931;Aisle;No;889;Aisle
199932;End-cap;Yes;1526;End-cap
199933;Front of Store;No;996;Front of Store
199934;Front of Store;No;846;Front of Store
199935;Front of Store;Yes;1662;Front of Store
199936;Aisle;Yes;1591;Aisle
199937;End-cap;No;1137;End-cap
199938;End-cap;No;954;End-cap
199939;End-cap;Yes;1207;End-cap
199940;Aisle;Yes;1208;Aisle
199941;Front of Store;No;825;Front of Store
199942;Front of Store;No;927;Front of Store
199943;Aisle;No;1079;Aisle
199944;Aisle;No;817;Aisle
199945;End-cap;No;946;End-cap
199946;Aisle;No;859;Aisle
199947;Aisle;No;747;Aisle
199948;End-cap;No;1042;End-cap
199949;Front of Store;No;932;Front of Store
199950;Aisle;No;922;Aisle
199951;Aisle;No;912;Aisle
199952;Aisle;Yes;1478;Aisle
199953;Front of Store;Yes;1338;Front of Store
199954;Aisle;Yes;1326;Aisle
199955;Aisle;No;914;Aisle
199956;Aisle;No;1023;Aisle
199957;Aisle;No;754;Aisle
199958;Front of Store;No;1119;Front of Store
199959;Front of Store;Yes;1366;Front of Store
199960;End-cap;No;892;End-cap
199961;End-cap;No;952;End-cap
199962;Front of Store;No;714;Front of Store
199963;Front of Store;Yes;1412;Front of Store
199964;End-cap;No;889;End-cap
199965;Front of Store;Yes;1703;Front of Store
199966;End-cap;Yes;1414;End-cap
199967;End-cap;No;839;End-cap
199968;End-cap;Yes;1512;End-cap
199969;End-cap;No;1071;End-cap
199970;Aisle;No;973;Aisle
199971;End-cap;No;894;End-cap
199972;Front of Store;Yes;1233;Front of Store
199973;Front of Store;No;813;Front of Store
199974;End-cap;No;850;End-cap
199975;End-cap;No;823;End-cap
199976;Front of Store;No;947;Front of Store
199977;End-cap;No;761;End-cap
199978;End-cap;Yes;1648;End-cap
199979;Aisle;Yes;1392;Aisle
199980;End-cap;No;947;End-cap
199981;Aisle;No;958;Aisle
199982;Aisle;No;852;Aisle
199983;End-cap;No;983;End-cap
199984;Aisle;No;918;Aisle
199985;Aisle;Yes;1356;Aisle
199986;End-cap;Yes;1356;End-cap
199987;Aisle;No;945;Aisle
199988;End-cap;Yes;1322;End-cap
199989;Aisle;Yes;1592;Aisle
199990;Front of Store;Yes;1349;Front of Store
199991;End-cap;No;996;End-cap
199992;End-cap;Yes;1278;End-cap
199993;Front of Store;Yes;1692;Front of Store
199994;Front of Store;No;1059;Front of Store
199995;Aisle;No;1175;Aisle
199996;End-cap;No;876;End-cap
199997;Front of Store;No;813;Front of Store
199998;End-cap;Yes;1759;End-cap
199999;End-cap;Yes;1400;End-cap
200000;End-cap;Yes;1461;End-cap
200001;End-cap;No;1144;End-cap
200002;End-cap;No;1062;End-cap
200003;Aisle;Yes;1452;Aisle
200004;Aisle;Yes;1253;Aisle
200005;Aisle;Yes;1622;Aisle
200006;End-cap;Yes;1282;End-cap
200007;Front of Store;Yes;1499;Front of Store
200008;Aisle;No;793;Aisle
200009;Aisle;Yes;1322;Aisle
200010;Aisle;Yes;1278;Aisle
200011;Aisle;No;672;Aisle
200012;Aisle;Yes;1411;Aisle
200013;End-cap;Yes;1179;End-cap
200014;End-cap;No;833;End-cap
200015;Aisle;No;637;Aisle
200016;End-cap;Yes;1286;End-cap
200017;Aisle;Yes;1306;Aisle
200018;Aisle;No;870;Aisle
200019;Front of Store;Yes;1366;Front of Store
200020;Front of Store;No;890;Front of Store
200021;Aisle;Yes;1724;Aisle
200022;Aisle;No;723;Aisle
200023;Front of Store;No;863;Front of Store
200024;Front of Store;No;918;Front of Store
200025;Front of Store;Yes;1293;Front of Store
200026;End-cap;No;926;End-cap
200027;End-cap;No;971;End-cap
200028;End-cap;Yes;1234;End-cap
200029;Front of Store;No;995;Front of Store
200030;Aisle;Yes;1701;Aisle
200031;Front of Store;Yes;1405;Front of Store
200032;End-cap;No;763;End-cap
200033;End-cap;Yes;1190;End-cap
200034;Front of Store;No;825;Front of Store
200035;End-cap;Yes;1820;End-cap
200036;Front of Store;No;764;Front of Store
200037;End-cap;No;954;End-cap
200038;End-cap;No;836;End-cap
200039;End-cap;No;775;End-cap
200040;End-cap;No;678;End-cap
200041;End-cap;No;768;End-cap
200042;Front of Store;Yes;1226;Front of Store
200043;Aisle;Yes;1324;Aisle
200044;Aisle;No;910;Aisle
200045;Aisle;Yes;1518;Aisle
200046;Front of Store;No;812;Front of Store
200047;Front of Store;Yes;1679;Front of Store
200048;Aisle;Yes;1525;Aisle
200049;End-cap;Yes;1577;End-cap
200050;Aisle;Yes;1339;Aisle
200051;Aisle;No;1027;Aisle
200052;Aisle;Yes;1335;Aisle
200053;End-cap;No;749;End-cap
200054;End-cap;Yes;1549;End-cap
200055;Aisle;No;775;Aisle
200056;End-cap;No;671;End-cap
200057;End-cap;No;905;End-cap
200058;End-cap;Yes;1224;End-cap
200059;Front of Store;Yes;1307;Front of Store
200060;Aisle;Yes;1454;Aisle
200061;End-cap;No;859;End-cap
200062;End-cap;No;859;End-cap
200063;Front of Store;Yes;1504;Front of Store
200064;Aisle;Yes;1595;Aisle
200065;Front of Store;No;847;Front of Store
200066;Front of Store;Yes;1395;Front of Store
200067;Aisle;No;872;Aisle
200068;Front of Store;No;814;Front of Store
200069;Aisle;Yes;1686;Aisle
200070;End-cap;No;991;End-cap
200071;Front of Store;Yes;1258;Front of Store
200072;End-cap;Yes;1438;End-cap
200073;Front of Store;Yes;1205;Front of Store
200074;Aisle;No;780;Aisle
200075;Aisle;No;809;Aisle
200076;End-cap;No;869;End-cap
200077;End-cap;No;997;End-cap
200078;Front of Store;Yes;1493;Front of Store
200079;Front of Store;Yes;1307;Front of Store
200080;Front of Store;Yes;1252;Front of Store
200081;End-cap;Yes;1604;End-cap
200082;End-cap;Yes;1549;End-cap
200083;End-cap;Yes;1438;End-cap
200084;Front of Store;No;827;Front of Store
200085;Front of Store;No;822;Front of Store
200086;End-cap;No;869;End-cap
200087;Aisle;Yes;1308;Aisle
200088;Front of Store;Yes;1275;Front of Store
200089;End-cap;No;698;End-cap
200090;End-cap;No;1044;End-cap
200091;Front of Store;No;616;Front of Store
200092;Aisle;No;728;Aisle
200093;Aisle;No;853;Aisle
200094;End-cap;Yes;1373;End-cap
200095;End-cap;No;862;End-cap
200096;Aisle;Yes;1231;Aisle
200097;End-cap;Yes;1292;End-cap
200098;End-cap;Yes;1270;End-cap
200099;Aisle;No;731;Aisle
200100;Aisle;Yes;1325;Aisle
200101;Front of Store;No;1006;Front of Store
200102;End-cap;Yes;1537;End-cap
200103;Front of Store;Yes;1607;Front of Store
200104;Front of Store;Yes;1395;Front of Store
200105;End-cap;No;716;End-cap
200106;End-cap;No;713;End-cap
200107;Aisle;Yes;1649;Aisle
200108;End-cap;No;819;End-cap
200109;End-cap;Yes;1265;End-cap
200110;End-cap;No;660;End-cap
200111;Aisle;No;961;Aisle
200112;End-cap;No;1068;End-cap
200113;Aisle;No;898;Aisle
200114;Aisle;Yes;1728;Aisle
200115;Front of Store;No;822;Front of Store
