Product ID;Product Category;Seasonal;terms;section;season;material;origin
198375;clothing;Yes;jackets;WOMAN;Spring;Polyester;Turkey
168837;clothing;No;jackets;MAN;Autumn;Polyester;Argentina
138505;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Morocco
116228;clothing;No;jackets;WOMAN;Winter;Polyester;India
167592;clothing;No;jackets;WOMAN;Autumn;Viscose;Argentina
133100;clothing;Yes;jackets;MAN;Autumn;Wool;India
119955;clothing;No;jackets;MAN;Autumn;Polyester;Morocco
189349;clothing;No;jackets;WOMAN;Spring;Cotton;Bangladesh
127478;clothing;Yes;jackets;WOMAN;Spring;Cotton;Cambodia
180661;clothing;No;jackets;MAN;Winter;Wool Blend;China
186681;clothing;No;jackets;WOMAN;Autumn;Acrylic;Bangladesh
133183;clothing;Yes;jackets;WOMAN;Autumn;Polyester;Vietnam
173508;clothing;No;jackets;MAN;Autumn;Viscose;Turkey
187930;clothing;No;jackets;WOMAN;Autumn;Cotton;India
124088;clothing;Yes;jackets;WOMAN;Autumn;Viscose;Bangladesh
190238;clothing;Yes;jackets;MAN;Spring;Denim;Spain
151925;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Portugal
163234;clothing;No;jackets;WOMAN;Spring;Denim;Turkey
135610;clothing;No;jackets;MAN;Winter;Wool Blend;Vietnam
117065;clothing;No;jackets;WOMAN;Spring;Cotton;China
149315;clothing;No;jackets;WOMAN;Autumn;Cotton;Cambodia
149510;clothing;No;jackets;WOMAN;Autumn;Viscose;India
137990;clothing;Yes;jackets;MAN;Autumn;Polyester;Turkey
154016;clothing;Yes;jackets;WOMAN;Winter;Wool;China
117751;clothing;Yes;jackets;MAN;Spring;Viscose;Turkey
182362;clothing;Yes;jackets;WOMAN;Spring;Cotton;Cambodia
117725;clothing;No;jackets;WOMAN;Spring;Cotton;China
145289;clothing;No;jackets;WOMAN;Autumn;Cotton;India
173576;clothing;Yes;jackets;MAN;Spring;Polyester;Cambodia
175059;clothing;Yes;jackets;WOMAN;Spring;Wool Blend;China
199368;clothing;No;jackets;WOMAN;Winter;Wool;Bangladesh
162883;clothing;No;jackets;MAN;Autumn;Polyester;China
135490;clothing;No;jackets;MAN;Winter;Polyester;Portugal
125408;clothing;Yes;jackets;WOMAN;Spring;Cotton;Turkey
134763;clothing;Yes;jackets;WOMAN;Winter;Polyester;Spain
143231;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;China
125409;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Bangladesh
183074;clothing;Yes;jackets;WOMAN;Spring;Denim;Turkey
147947;clothing;No;jackets;WOMAN;Autumn;Cotton;Brazil
174171;clothing;Yes;jackets;MAN;Autumn;Cotton;China
183064;clothing;No;jackets;WOMAN;Summer;Linen;Spain
177131;clothing;No;jackets;MAN;Winter;Wool;Spain
128179;clothing;Yes;jackets;MAN;Autumn;Acrylic;Vietnam
152723;clothing;Yes;jackets;WOMAN;Winter;Wool Blend;Bangladesh
123824;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Bangladesh
166345;clothing;No;jackets;MAN;Autumn;Acrylic;China
199279;clothing;No;jackets;WOMAN;Autumn;Polyester;China
167981;clothing;No;jackets;WOMAN;Autumn;Viscose;China
146839;clothing;No;jackets;WOMAN;Winter;Wool Blend;Turkey
187180;clothing;No;jackets;WOMAN;Autumn;Wool Blend;Spain
167640;clothing;No;jackets;WOMAN;Autumn;Viscose;Turkey
165158;clothing;No;jackets;WOMAN;Spring;Polyester;Spain
111521;clothing;Yes;jackets;MAN;Autumn;Cotton;Bangladesh
120228;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Morocco
133078;clothing;Yes;jackets;WOMAN;Winter;Cotton;India
137598;clothing;Yes;jackets;WOMAN;Autumn;Polyester;China
138779;clothing;Yes;jackets;MAN;Autumn;Polyester;India
198329;clothing;No;jackets;WOMAN;Winter;Viscose;Spain
110295;clothing;No;jackets;WOMAN;Autumn;Cotton;India
196427;clothing;No;jackets;MAN;Autumn;Viscose;Vietnam
110075;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Portugal
132322;clothing;Yes;jackets;WOMAN;Spring;Linen;Bangladesh
199631;clothing;No;jackets;MAN;Winter;Wool;India
182306;clothing;Yes;jackets;WOMAN;Summer;Cotton;Brazil
194915;clothing;No;jackets;WOMAN;Autumn;Cotton;Morocco
131298;clothing;Yes;jackets;WOMAN;Summer;Linen;Spain
168571;clothing;No;jackets;MAN;Summer;Linen;Turkey
154224;clothing;Yes;jackets;WOMAN;Summer;Linen;China
171061;clothing;Yes;jackets;WOMAN;Winter;Cotton;Bangladesh
119049;clothing;No;jackets;WOMAN;Spring;Linen Blend;Bangladesh
158781;clothing;Yes;jackets;MAN;Autumn;Polyester;Portugal
151438;clothing;No;jackets;MAN;Autumn;Viscose;Bangladesh
152871;clothing;Yes;jackets;MAN;Winter;Polyester;Spain
126806;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;China
134104;clothing;No;jackets;WOMAN;Autumn;Cotton;China
120266;clothing;Yes;jackets;WOMAN;Autumn;Cotton;India
173550;clothing;No;jackets;WOMAN;Autumn;Viscose;Morocco
175927;clothing;No;jackets;MAN;Winter;Wool Blend;Bangladesh
154278;clothing;Yes;jackets;WOMAN;Summer;Linen;Cambodia
183537;clothing;Yes;jackets;WOMAN;Autumn;Polyester;China
150424;clothing;Yes;jackets;WOMAN;Autumn;Polyester;Spain
183825;clothing;Yes;jackets;WOMAN;Summer;Cotton;Bangladesh
144012;clothing;No;jackets;WOMAN;Spring;Linen;Cambodia
147051;clothing;Yes;jackets;MAN;Winter;Polyester;Vietnam
185800;clothing;Yes;jackets;WOMAN;Winter;Viscose;Turkey
197524;clothing;Yes;jackets;MAN;Summer;Cotton;Bangladesh
148823;clothing;Yes;shoes;WOMAN;Spring;Cotton;Portugal
114550;clothing;Yes;shoes;WOMAN;Spring;Cotton;Bangladesh
125398;clothing;No;shoes;MAN;Summer;Cotton;Turkey
123985;clothing;Yes;shoes;WOMAN;Winter;Polyester;India
186638;clothing;No;shoes;WOMAN;Autumn;Polyester;Bangladesh
167281;clothing;No;shoes;WOMAN;Winter;Polyester;Bangladesh
118578;clothing;No;shoes;MAN;Summer;Polyester;India
174041;clothing;Yes;shoes;WOMAN;Autumn;Polyester;Bangladesh
127644;clothing;No;shoes;MAN;Winter;Cotton;Portugal
132007;clothing;Yes;shoes;MAN;Summer;Viscose;Turkey
147998;clothing;Yes;shoes;WOMAN;Summer;Cotton;China
176666;clothing;Yes;shoes;MAN;Autumn;Viscose;Portugal
193686;clothing;Yes;shoes;WOMAN;Spring;Viscose;China
163610;clothing;Yes;shoes;WOMAN;Summer;Cotton;Vietnam
170364;clothing;No;shoes;WOMAN;Summer;Cotton;Morocco
167599;clothing;No;shoes;WOMAN;Spring;Cotton;India
166421;clothing;Yes;shoes;WOMAN;Spring;Viscose;Vietnam
129247;clothing;Yes;shoes;WOMAN;Summer;Cotton;China
127314;clothing;Yes;shoes;WOMAN;Summer;Viscose;Bangladesh
111979;clothing;Yes;shoes;WOMAN;Summer;Polyester;Cambodia
120354;clothing;Yes;shoes;MAN;Summer;Viscose;India
144848;clothing;Yes;shoes;MAN;Summer;Cotton;Vietnam
111957;clothing;Yes;shoes;WOMAN;Autumn;Viscose;Brazil
160763;clothing;No;shoes;WOMAN;Summer;Polyester;Bangladesh
168270;clothing;No;shoes;MAN;Autumn;Cotton;Spain
195082;clothing;No;shoes;MAN;Summer;Linen;Turkey
110329;clothing;Yes;shoes;MAN;Autumn;Polyester;Portugal
147449;clothing;No;shoes;WOMAN;Spring;Cotton;China
193332;clothing;No;shoes;WOMAN;Summer;Viscose;India
146804;clothing;No;shoes;MAN;Summer;Viscose;Turkey
188909;clothing;Yes;sweaters;WOMAN;Autumn;Wool Blend;Turkey
165910;clothing;Yes;sweaters;MAN;Winter;Wool Blend;China
136738;clothing;No;sweaters;WOMAN;Winter;Acrylic;India
144497;clothing;No;sweaters;WOMAN;Autumn;Wool;Portugal
135036;clothing;No;sweaters;MAN;Winter;Wool Blend;Turkey
166331;clothing;Yes;sweaters;WOMAN;Winter;Wool;Pakistan
139789;clothing;No;sweaters;WOMAN;Winter;Wool Blend;China
118569;clothing;No;sweaters;MAN;Winter;Wool;India
155848;clothing;Yes;sweaters;WOMAN;Autumn;Wool Blend;Morocco
152563;clothing;Yes;sweaters;WOMAN;Winter;Polyester;India
115153;clothing;No;sweaters;MAN;Winter;Wool Blend;China
125938;clothing;No;sweaters;MAN;Winter;Wool Blend;Turkey
122809;clothing;No;sweaters;WOMAN;Autumn;Wool;Vietnam
181502;clothing;Yes;sweaters;WOMAN;Winter;Wool;China
182779;clothing;Yes;sweaters;WOMAN;Autumn;Wool;Bangladesh
155674;clothing;No;sweaters;WOMAN;Winter;Wool Blend;Portugal
182866;clothing;No;sweaters;WOMAN;Winter;Acrylic;India
148230;clothing;Yes;sweaters;MAN;Autumn;Wool Blend;Bangladesh
126979;clothing;Yes;sweaters;WOMAN;Winter;Wool Blend;China
135521;clothing;Yes;sweaters;MAN;Winter;Wool Blend;China
185809;clothing;No;sweaters;MAN;Autumn;Wool Blend;Spain
171520;clothing;Yes;sweaters;MAN;Winter;Acrylic;Bangladesh
122926;clothing;No;sweaters;WOMAN;Autumn;Wool Blend;India
150953;clothing;Yes;sweaters;WOMAN;Winter;Wool;Portugal
115873;clothing;Yes;sweaters;WOMAN;Autumn;Polyester;Spain
115581;clothing;Yes;sweaters;WOMAN;Autumn;Polyester;China
183634;clothing;Yes;sweaters;WOMAN;Autumn;Wool;Turkey
122484;clothing;No;sweaters;MAN;Winter;Wool;Morocco
183574;clothing;No;sweaters;WOMAN;Winter;Wool Blend;China
185307;clothing;Yes;sweaters;MAN;Autumn;Wool Blend;Portugal
118719;clothing;No;sweaters;WOMAN;Autumn;Wool;Vietnam
134788;clothing;Yes;sweaters;WOMAN;Winter;Wool;Bangladesh
140142;clothing;No;sweaters;MAN;Winter;Wool Blend;Turkey
153997;clothing;No;sweaters;WOMAN;Winter;Acrylic;China
123230;clothing;No;jackets;WOMAN;Autumn;Polyester;Morocco
154676;clothing;No;jackets;WOMAN;Autumn;Cotton;Brazil
152985;clothing;No;jackets;MAN;Spring;Cotton;India
175584;clothing;Yes;jeans;WOMAN;Autumn;Cotton;Bangladesh
147491;clothing;No;jeans;WOMAN;Autumn;Cotton;China
198283;clothing;No;jeans;WOMAN;Winter;Cotton;Cambodia
141547;clothing;No;jeans;WOMAN;Winter;Denim;Argentina
156342;clothing;No;jeans;MAN;Autumn;Cotton;Spain
186083;clothing;No;jeans;MAN;Autumn;Cotton;India
171776;clothing;No;jeans;WOMAN;Autumn;Cotton;Bangladesh
134429;clothing;Yes;jeans;WOMAN;Spring;Cotton;Bangladesh
172816;clothing;No;sweaters;MAN;Winter;Wool;Brazil
136272;clothing;Yes;sweaters;MAN;Autumn;Acrylic;Portugal
193227;clothing;No;sweaters;MAN;Autumn;Wool Blend;Bangladesh
165786;clothing;No;sweaters;WOMAN;Winter;Acrylic;Cambodia
174708;clothing;No;sweaters;MAN;Winter;Wool;India
142257;clothing;No;t-shirts;WOMAN;Summer;Linen Blend;Cambodia
126146;clothing;Yes;t-shirts;WOMAN;Spring;Linen;India
129134;clothing;Yes;t-shirts;WOMAN;Summer;Cotton;Morocco
129898;clothing;Yes;t-shirts;WOMAN;Summer;Linen;China
189692;clothing;No;t-shirts;MAN;Spring;Linen;China
154846;clothing;No;t-shirts;MAN;Spring;Linen;China
122307;clothing;No;t-shirts;MAN;Summer;Cotton;Morocco
182099;clothing;Yes;t-shirts;WOMAN;Summer;Linen;Morocco
159816;clothing;Yes;t-shirts;WOMAN;Spring;Linen Blend;Turkey
165326;clothing;No;t-shirts;WOMAN;Spring;Cotton;Portugal
185154;clothing;No;t-shirts;WOMAN;Spring;Cotton;Morocco
141330;clothing;Yes;t-shirts;MAN;Summer;Linen;India
158958;clothing;No;t-shirts;MAN;Summer;Linen Blend;Turkey
155010;clothing;No;t-shirts;MAN;Autumn;Wool;Portugal
135857;clothing;Yes;t-shirts;MAN;Summer;Cotton;Cambodia
147690;clothing;No;t-shirts;MAN;Spring;Linen;Bangladesh
130321;clothing;Yes;t-shirts;WOMAN;Summer;Linen;China
196752;clothing;Yes;t-shirts;WOMAN;Summer;Linen;Vietnam
181011;clothing;No;shoes;WOMAN;Autumn;Cotton;Spain
139967;clothing;Yes;t-shirts;MAN;Winter;Polyester;Pakistan
162699;clothing;Yes;sweaters;WOMAN;Autumn;Wool Blend;Vietnam
119044;clothing;No;sweaters;WOMAN;Autumn;Wool;China
121348;clothing;No;t-shirts;WOMAN;Spring;Linen Blend;Portugal
163982;clothing;Yes;t-shirts;MAN;Autumn;Viscose;Morocco
185774;clothing;No;t-shirts;MAN;Autumn;Polyester;Vietnam
144651;clothing;No;t-shirts;WOMAN;Winter;Wool;India
195103;clothing;Yes;t-shirts;MAN;Spring;Viscose;Bangladesh
123047;clothing;Yes;t-shirts;WOMAN;Spring;Cotton;Spain
123077;clothing;No;t-shirts;WOMAN;Winter;Cotton;India
171860;clothing;No;t-shirts;WOMAN;Autumn;Denim;Morocco
149487;clothing;No;t-shirts;MAN;Autumn;Cotton;Bangladesh
168516;clothing;Yes;t-shirts;WOMAN;Spring;Polyester;Brazil
177771;clothing;No;t-shirts;WOMAN;Winter;Polyester;India
172015;clothing;Yes;t-shirts;WOMAN;Spring;Cotton;Vietnam
118985;clothing;No;t-shirts;WOMAN;Autumn;Wool Blend;Portugal
112194;clothing;Yes;jackets;WOMAN;Spring;Linen Blend;Bangladesh
113435;clothing;Yes;jackets;WOMAN;Spring;Linen;India
159182;clothing;No;jackets;MAN;Autumn;Viscose;Bangladesh
199233;clothing;Yes;jackets;MAN;Spring;Viscose;Spain
137044;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Bangladesh
154736;clothing;No;jackets;WOMAN;Winter;Polyester;Morocco
141434;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Vietnam
199632;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Turkey
199633;clothing;Yes;jeans;MAN;Summer;Linen;Pakistan
199634;clothing;Yes;jackets;WOMAN;Winter;Wool Blend;Portugal
199635;clothing;No;sweaters;MAN;Autumn;Viscose;Morocco
199636;clothing;Yes;jackets;MAN;Autumn;Wool Blend;Turkey
199637;clothing;Yes;jackets;WOMAN;Spring;Linen;Portugal
199638;clothing;Yes;jeans;WOMAN;Winter;Wool;Portugal
199639;clothing;No;t-shirts;WOMAN;Spring;Linen;China
199640;clothing;No;jackets;WOMAN;Autumn;Viscose;Turkey
199641;clothing;No;shoes;WOMAN;Autumn;Polyester;Bangladesh
199642;clothing;Yes;jackets;WOMAN;Winter;Wool;Turkey
199643;clothing;Yes;jackets;MAN;Summer;Cotton;Portugal
199644;clothing;No;sweaters;WOMAN;Winter;Polyester;China
199645;clothing;Yes;shoes;MAN;Spring;Linen;India
199646;clothing;Yes;shoes;MAN;Autumn;Wool Blend;China
199647;clothing;Yes;shoes;WOMAN;Spring;Linen;Portugal
199648;clothing;Yes;jackets;WOMAN;Spring;Linen;Morocco
199649;clothing;No;jackets;MAN;Summer;Wool;Brazil
199650;clothing;Yes;shoes;WOMAN;Spring;Cotton;China
199651;clothing;No;jackets;WOMAN;Spring;Linen;India
199652;clothing;No;jackets;WOMAN;Winter;Cotton;China
199653;clothing;Yes;sweaters;MAN;Spring;Polyester;Bangladesh
199654;clothing;Yes;jackets;MAN;Winter;Wool Blend;Bangladesh
199655;clothing;Yes;sweaters;WOMAN;Autumn;Wool Blend;Spain
199656;clothing;Yes;sweaters;MAN;Autumn;Acrylic;Brazil
199657;clothing;Yes;jackets;MAN;Winter;Wool;Turkey
199658;clothing;No;jackets;MAN;Spring;Linen;Portugal
199659;clothing;Yes;t-shirts;WOMAN;Winter;Wool;India
199660;clothing;No;jackets;WOMAN;Winter;Wool Blend;China
199661;clothing;No;t-shirts;WOMAN;Spring;Viscose;Morocco
199662;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;India
199663;clothing;Yes;jeans;WOMAN;Autumn;Polyester;Bangladesh
199664;clothing;No;sweaters;WOMAN;Autumn;Cotton;Turkey
199665;clothing;Yes;jackets;MAN;Autumn;Polyester;Portugal
199666;clothing;No;t-shirts;WOMAN;Autumn;Polyester;Brazil
199667;clothing;Yes;jackets;WOMAN;Winter;Wool Blend;Spain
199668;clothing;No;jackets;WOMAN;Autumn;Satin;Portugal
199669;clothing;Yes;shoes;WOMAN;Winter;Wool;Bangladesh
199670;clothing;No;sweaters;WOMAN;Winter;Wool;China
199671;clothing;Yes;jackets;MAN;Winter;Wool Blend;Pakistan
199672;clothing;Yes;sweaters;MAN;Summer;Cotton;China
199673;clothing;No;jackets;MAN;Summer;Linen;Vietnam
199674;clothing;No;jackets;MAN;Spring;Linen Blend;Spain
199675;clothing;No;t-shirts;MAN;Spring;Linen Blend;India
199676;clothing;No;jeans;WOMAN;Summer;Wool Blend;Bangladesh
199677;clothing;No;jackets;WOMAN;Spring;Cotton;Portugal
199678;clothing;Yes;t-shirts;WOMAN;Autumn;Polyester;Cambodia
199679;clothing;Yes;jackets;WOMAN;Spring;Linen;Bangladesh
199680;clothing;No;jackets;WOMAN;Summer;Cotton;Bangladesh
199681;clothing;Yes;shoes;WOMAN;Summer;Cotton;India
199682;clothing;Yes;jackets;WOMAN;Autumn;Polyester;China
199683;clothing;No;t-shirts;WOMAN;Spring;Wool Blend;Bangladesh
199684;clothing;Yes;t-shirts;WOMAN;Winter;Polyester;Turkey
199685;clothing;No;jackets;WOMAN;Summer;Polyester;China
199686;clothing;No;t-shirts;MAN;Spring;Cotton;Turkey
199687;clothing;No;sweaters;MAN;Autumn;Wool;Vietnam
199688;clothing;Yes;jackets;WOMAN;Autumn;Denim;Turkey
199689;clothing;Yes;t-shirts;WOMAN;Autumn;Viscose;Turkey
199690;clothing;Yes;t-shirts;WOMAN;Summer;Wool Blend;Morocco
199691;clothing;No;sweaters;MAN;Autumn;Cotton;Spain
199692;clothing;Yes;jackets;MAN;Autumn;Wool Blend;India
199693;clothing;Yes;jackets;MAN;Spring;Polyester;Brazil
199694;clothing;Yes;t-shirts;WOMAN;Spring;Linen;India
199695;clothing;Yes;jackets;WOMAN;Summer;Linen Blend;Bangladesh
199696;clothing;Yes;jackets;MAN;Autumn;Wool;Bangladesh
199697;clothing;No;jeans;WOMAN;Autumn;Wool Blend;Bangladesh
199698;clothing;No;jackets;WOMAN;Summer;Linen Blend;China
199699;clothing;No;shoes;MAN;Autumn;Wool Blend;Spain
199700;clothing;Yes;t-shirts;MAN;Winter;Wool;Turkey
199701;clothing;No;jackets;WOMAN;Summer;Linen Blend;Morocco
199702;clothing;No;shoes;MAN;Autumn;Wool Blend;China
199703;clothing;No;sweaters;MAN;Winter;Wool Blend;India
199704;clothing;Yes;sweaters;MAN;Autumn;Satin;Brazil
199705;clothing;No;jackets;MAN;Autumn;Viscose;Morocco
199706;clothing;Yes;t-shirts;WOMAN;Winter;Wool;Bangladesh
199707;clothing;No;t-shirts;WOMAN;Spring;Cotton;Turkey
199708;clothing;No;t-shirts;MAN;Autumn;Polyester;Turkey
199709;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;India
199710;clothing;No;sweaters;WOMAN;Winter;Wool;Turkey
199711;clothing;No;sweaters;WOMAN;Summer;Cotton;China
199712;clothing;Yes;jackets;WOMAN;Spring;Cotton;Morocco
199713;clothing;No;jackets;WOMAN;Summer;Wool;Bangladesh
199714;clothing;Yes;sweaters;MAN;Winter;Wool Blend;Morocco
199715;clothing;No;t-shirts;WOMAN;Summer;Cotton;India
199716;clothing;Yes;jackets;WOMAN;Winter;Wool;India
199717;clothing;No;t-shirts;WOMAN;Spring;Linen;Morocco
199718;clothing;Yes;jackets;WOMAN;Spring;Cotton;Bangladesh
199719;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Spain
199720;clothing;Yes;sweaters;WOMAN;Winter;Wool;China
199721;clothing;No;jackets;WOMAN;Winter;Polyester;Portugal
199722;clothing;No;sweaters;WOMAN;Summer;Wool Blend;Brazil
199723;clothing;No;sweaters;WOMAN;Winter;Cotton;Turkey
199724;clothing;No;jackets;WOMAN;Autumn;Acrylic;Argentina
199725;clothing;Yes;jeans;WOMAN;Winter;Wool Blend;Bangladesh
199726;clothing;Yes;jackets;WOMAN;Autumn;Cotton;Vietnam
199727;clothing;No;sweaters;MAN;Summer;Cotton;Morocco
199728;clothing;No;jackets;WOMAN;Autumn;Wool;China
199729;clothing;No;t-shirts;MAN;Winter;Acrylic;Bangladesh
199730;clothing;Yes;t-shirts;WOMAN;Summer;Linen;Bangladesh
199731;clothing;Yes;jackets;WOMAN;Spring;Cotton;China
199732;clothing;No;jackets;WOMAN;Spring;Cotton;Vietnam
199733;clothing;Yes;t-shirts;WOMAN;Spring;Cotton;Turkey
199734;clothing;No;jackets;WOMAN;Autumn;Viscose;China
199735;clothing;No;jackets;WOMAN;Autumn;Wool Blend;Bangladesh
199736;clothing;Yes;shoes;MAN;Autumn;Viscose;Portugal
199737;clothing;No;shoes;WOMAN;Winter;Wool Blend;China
199738;clothing;Yes;shoes;MAN;Spring;Linen;China
199739;clothing;Yes;jackets;WOMAN;Spring;Cotton;Bangladesh
199740;clothing;Yes;sweaters;WOMAN;Autumn;Wool Blend;Bangladesh
199741;clothing;No;jackets;WOMAN;Autumn;Wool;Bangladesh
199742;clothing;Yes;sweaters;MAN;Spring;Linen;Bangladesh
199743;clothing;No;t-shirts;WOMAN;Spring;Cotton;Vietnam
199744;clothing;No;jackets;WOMAN;Autumn;Viscose;Bangladesh
199745;clothing;Yes;jackets;MAN;Winter;Wool Blend;Turkey
199746;clothing;No;shoes;WOMAN;Autumn;Viscose;Bangladesh
199747;clothing;Yes;sweaters;WOMAN;Summer;Wool;Vietnam
199748;clothing;No;jeans;WOMAN;Autumn;Viscose;India
199749;clothing;Yes;t-shirts;MAN;Summer;Linen;Turkey
199750;clothing;No;jackets;WOMAN;Summer;Cotton;India
199751;clothing;No;sweaters;MAN;Spring;Viscose;Morocco
199752;clothing;No;sweaters;WOMAN;Spring;Linen;China
199753;clothing;Yes;t-shirts;WOMAN;Autumn;Acrylic;Cambodia
199754;clothing;Yes;jackets;WOMAN;Spring;Linen Blend;Argentina
199755;clothing;Yes;jackets;WOMAN;Autumn;Wool Blend;Morocco
199756;clothing;Yes;shoes;WOMAN;Autumn;Wool;Argentina
199757;clothing;No;jackets;WOMAN;Summer;Linen;Morocco
199758;clothing;No;sweaters;MAN;Winter;Polyester;Bangladesh
199759;clothing;No;jackets;WOMAN;Autumn;Polyester;Turkey
199760;clothing;Yes;jackets;WOMAN;Autumn;Wool;Bangladesh
199761;clothing;No;jeans;WOMAN;Autumn;Polyester;China
199762;clothing;Yes;t-shirts;WOMAN;Spring;Wool;Bangladesh
199763;clothing;No;shoes;MAN;Winter;Wool Blend;Brazil
199764;clothing;Yes;shoes;MAN;Summer;Linen;Cambodia
199765;clothing;No;shoes;WOMAN;Autumn;Denim;Bangladesh
199766;clothing;No;jackets;WOMAN;Spring;Cotton;Portugal
199767;clothing;No;jackets;WOMAN;Autumn;Wool Blend;Bangladesh
199768;clothing;No;jackets;MAN;Autumn;Cotton;India
199769;clothing;Yes;jackets;WOMAN;Winter;Denim;India
199770;clothing;No;jackets;MAN;Autumn;Wool;Vietnam
199771;clothing;No;jackets;MAN;Spring;Cotton;Turkey
199772;clothing;Yes;jackets;WOMAN;Summer;Wool Blend;India
199773;clothing;No;jackets;WOMAN;Spring;Cotton;Spain
199774;clothing;No;jackets;WOMAN;Winter;Wool Blend;Turkey
199775;clothing;No;jackets;MAN;Summer;Cotton;Brazil
199776;clothing;No;jackets;WOMAN;Winter;Wool;Portugal
199777;clothing;Yes;sweaters;MAN;Autumn;Wool;Vietnam
199778;clothing;Yes;jackets;WOMAN;Summer;Cotton;Portugal
199779;clothing;No;jackets;WOMAN;Autumn;Acrylic;Morocco
199780;clothing;Yes;sweaters;WOMAN;Winter;Polyester;Cambodia
199781;clothing;Yes;sweaters;WOMAN;Spring;Polyester;Bangladesh
199782;clothing;Yes;jackets;WOMAN;Winter;Wool Blend;Spain
199783;clothing;Yes;sweaters;MAN;Spring;Cotton;China
199784;clothing;Yes;shoes;WOMAN;Winter;Wool Blend;Vietnam
199785;clothing;Yes;jackets;MAN;Summer;Linen Blend;Spain
199786;clothing;Yes;shoes;WOMAN;Winter;Denim;Morocco
199787;clothing;No;sweaters;WOMAN;Autumn;Wool;India
199788;clothing;No;jackets;WOMAN;Autumn;Cotton;Morocco
199789;clothing;Yes;sweaters;MAN;Winter;Wool;Morocco
199790;clothing;No;jackets;MAN;Winter;Wool;China
